Run Number,Word,Key,Reaction Time
5,OTHER,p,1.4197886
5,HELPLESS,q,1.5768234
5,OTHER,p,0.6720768
5,ADMIRE,p,2.1862741
5,SELF,q,0.8394752
5,OTHER,p,1.2354249
5,SCHOLAR,p,3.0024611
5,FUN,p,0.7887488
5,INTIMATE,p,0.6069354
5,OTHER,p,1.0553488
5,STRONG,p,1.2731161
5,SELF,q,0.6202187
5,SELF,q,0.9057104
5,HONEST,p,1.0892578
5,SELF,q,0.5938731
5,SELF,q,0.8622148
5,BRAVE,p,0.6267516
5,SELF,q,0.4813883
5,HELPFUL,p,0.8526603
5,REJECTION,q,1.9142693
5,OTHER,p,1.5169282
5,SELF,q,0.92586
5,BEAUTY,p,0.8131007
5,TRUST,p,1.0081111
5,OTHER,q,1.2409087
5,OTHER,p,1.0308347
5,MODEL,p,1.1068966
5,OTHER,p,0.4956858
5,OTHER,p,0.389183
5,ALONE,q,1.9151525
5,PROSPECT,p,0.9664405
5,SELF,q,0.6175852
5,COWARD,q,0.5210043
5,SELF,q,0.8741949
5,INFERIOR,q,0.6634798
5,FAIL,q,0.7035597
5,SELF,q,0.3874002
5,WEAK,q,0.6103591
5,OTHER,p,1.2828198
5,SELF,q,0.6991167
5,AFRAID,q,1.4922417
5,OTHER,p,2.1280721
5,DANGER,q,1.5545614
5,TRAP,q,0.8971294
5,VOMIT,q,0.6158138
5,OTHER,p,0.7145851
5,RESTLESS,q,0.6437631
5,TEACHER,p,0.7394431
5,SELF,q,0.7084291
5,FRIEND,p,1.0965054
5,TRANQUIL,p,0.6166544
5,SELF,p,1.1856647
5,OTHER,p,1.3218003
5,SELF,q,0.6803235
5,SELF,q,0.6627917
5,IMPULSE,q,0.8123216
5,LOVE,p,0.843264
5,OTHER,p,0.7571188
5,OTHER,p,0.5791698
5,TROUBLE,q,0.8065045
,,,
Positive Word Reaction Time Average,Sum of Positive Reaction Time,No of correct keystorks,
0.704184414,9.8585818,14,
Negative Word Reaction Time Average,Sum of Negative Reaction Time,No of correct keystorks,
1.04277405,14.5988367,14,
,,,
3,OTHER,q,1.0848592
3,VOMIT,q,1.5145386
3,WEAK,q,1.0655862
3,OTHER,q,0.9915311
3,PROSPECT,p,0.9782762
3,SHY,p,1.0022684
3,HELPLESS,q,0.8526117
3,OTHER,q,0.92945
3,SELF,p,0.830471
3,SELF,p,0.8493275
3,OTHER,q,0.7243602
3,OTHER,q,0.8046932
3,KIND,p,0.8887978
3,TEACHER,p,0.8406646
3,LOVE,p,0.7866016
3,SELF,p,0.7452723
3,OTHER,q,0.7586157
3,FAIL,q,0.8443002
3,BEGGAR,q,0.9667068
3,SELF,p,0.6665668
3,BITTER,q,0.6106484
3,OTHER,q,0.7330454
3,BEAUTY,p,0.9385567
3,SELF,q,0.9187949
3,SELF,p,0.9267165
3,HONEST,p,1.376481
3,SELF,p,0.6403475
3,MODEL,p,1.2295052
3,INTIMATE,p,0.6242033
3,ENEMY,q,0.5952574
3,SELF,p,0.628488
3,HELPFUL,p,0.9734036
3,OTHER,q,0.6122807
3,IMPULSE,q,0.9284857
3,SELF,p,0.647037
3,OTHER,q,0.8137969
3,SELF,p,0.62334
3,HERO,p,0.8787377
3,FUN,p,0.8942563
3,SELF,p,0.8004642
3,SELF,p,0.7398682
3,COWARD,q,0.6278679
3,SELF,p,1.0067529
3,OTHER,q,0.6180085
3,OTHER,q,0.9934662
3,SAD,q,0.8910677
3,OTHER,q,0.8190078
3,WIN,p,0.840506
3,ADMIRE,p,0.7429664
3,EMBARASS,p,0.7443771
3,DISGRACE,q,1.4389943
3,SELF,p,1.2123324
3,OTHER,q,0.6588049
3,SELF,p,0.6569839
3,BRAVE,p,0.9962813
3,OTHER,q,0.8583203
3,ALONE,q,0.8997714
3,HAPPY,p,0.7279689
3,OTHER,q,0.7073328
3,NERVOUS,q,1.3568063
,,,
Positive Word Reaction Time Average,Sum of Positive Reaction Time,No of correct keystorks,
0.851419821,24.6911748,29,
Negative Word Reaction Time Average,Sum of Negative Reaction Time,No of correct keystorks,
0.882150554,24.7002155,28,
